"BRIDGE.NAM","EASTING","NORTHING","OWNER","geometry","id","LW_upstream","mean_slope","mean_aspect"
"HELE BRIDGE",254012,106322,"Devon County Council",c(-453591.71224104, 6592680.44338253),1,3,2.33860412258458,188.700992103053
"BIDEFORD LONG",245545,126435,"Devon County Council",c(-467972.714351764, 6624218.68639474),2,0,0.0637353810678425,270.668110502299
"WOODFORD",239877,112517,"Devon County Council",c(-476215.326462556, 6601846.35671974),3,7,1.59471232387309,168.038471625012
"ASHMANSWORTHY",233952,117200,"Devon County Council",c(-485827.217792461, 6608959.36362384),4,3,1.44744792734187,179.825706489891
"DIPPERMILL",243804,106473,"Devon County Council",c(-469725.322025484, 6592455.23950855),5,8,1.88861303616274,194.989200349405
"PUTFORD BRIDGE",236389,115919,"Devon County Council",c(-481908.317083189, 6607061.97927651),6,4,1.22639764865734,185.928899802946
"HORTON BRIDGE",229936,118309,"Devon County Council",c(-492242.88080641, 6610525.84931759),7,2,0.956617387152695,155.513789784508
"NEW BRIDGE TORRINGTON",249980,118393,"Devon County Council",c(-460531.182490405, 6611641.00286888),8,8,1.89318410481993,185.189437134181
"ROTHERN (ROLLE)",247952,119707,"Devon County Council",c(-463791.580300737, 6613630.35559989),9,16,2.93495027685932,163.503266113274
"TADDIPORT",248813,118727,"Devon County Council",c(-462375.684556682, 6612112.61234806),10,11,2.39746999948995,180.607395515269
"BEAFORD",254260,114288,"Devon County Council",c(-453554.287047531, 6605320.32757318),11,20,1.80515513659387,180.742184427334
"BLACK TORRINGTON",246963,106080,"Devon County Council",c(-464716.624719044, 6591974.86960927),12,5,3.39456861303248,208.125910853227
"GIDCOTT MILL",242212,109412,"Devon County Council",c(-472383.379466627, 6597028.118806),13,1,1.90319935054559,196.20441718391
"NEW",254838,111220,"Devon County Council",c(-452508.910645499, 6600478.8107277),14,3,2.35022484978462,177.172672844783
"SHEEPWASH",248612,105746,"Devon County Council",c(-462096.604057239, 6591516.82422269),15,2,1.24163476421455,131.468214799901
"WEARE GIFFORD",246291,122926,"Devon County Council",c(-466567.061614203, 6618675.87526293),16,17,2.66881567158519,197.71253696349
"HAYTOWN",238307,114257,"Devon County Council",c(-478791.669609125, 6604520.85499568),17,8,1.19814497049618,192.422773283577
"OLD ROTHERN",247909,119742,"Devon County Council",c(-463858.784960349, 6613681.60175785),18,16,2.93495027685932,163.503266113274
"ROLLE ROAD ARCH",249893,118702,"Devon County Council",c(-460690.324643506, 6612099.10708723),19,9,2.0788422669003,191.16970478424
"LANDCROSS VIADUCT",246223,124671,"Devon County Council",c(-466764.523945277, 6621429.23171301),20,7,1.22300796152884,202.503748134407
"CANAL BRIDGE",247502,120997,"Devon County Council",c(-464563.259264988, 6615667.99500552),21,17,3.24396634545174,188.516428669357
"BEAM WEIR BRIDGE",247486,120629,"Devon County Council",c(-464570.512935565, 6615086.9715774),22,16,3.20387573202104,172.95598911701
"KNACKERS HILL BRIDGE",247685,120268,"Devon County Council",c(-464229.695062091, 6614507.65511799),23,15,2.87520679005773,163.045756808184
"ROLLE ROAD (WORKHOUSE)",248067,119629,"Devon County Council",c(-463618.961148764, 6613482.03132921),24,16,2.81550012967021,165.260112782944
"TORRINGTON VIADUCT",248056,119539,"Devon County Council",c(-463572.078653591, 6613394.57028536),25,15,2.78940205540347,166.064149831262
"TORRIDGE BRIDGE",245839,127891,"Devon County Council",c(-467533.282897089, 6626541.45477875),26,0,0.169019794398046,201.382246433904
"KISMELDON",235702,116935,"Devon County Council",c(-483052.14591004, 6608634.05476351),27,4,1.14744038749818,174.675722025534
"HATHERLEIGH VIADUCT",253529,106038,"Devon County Council",c(-454343.612937255, 6592217.03084173),28,2,2.15099362969257,184.271413334793
